timestamp (ms);packet no.;rssi;satellites;longitude (¡);latitude (¡);altitude (m);temperature (decy ¡C);pressure (Pa);humidity (%)
248620;46;-124;0;21.063232;52.501278;107;384;107022.61;45
253622;47;-124;0;21.063099;52.501141;106;386;107126.02;45
258624;48;-124;0;21.062965;52.501007;105;387;107148.98;45
264627;49;-124;0;21.062965;52.501007;105;388;107209.89;45
270630;50;-123;0;21.062965;52.501007;105;388;107210.8;45
276633;51;-123;0;21.062965;52.501007;105;389;107232.85;45
282636;52;-122;0;21.062965;52.501007;105;388;107209.7;45
288638;53;-120;0;21.062965;52.501007;105;384;107000.41;45
294641;54;-123;0;21.062965;52.501007;105;384;106961.5;45
300644;55;-116;0;21.062965;52.501007;105;383;106937.58;45
303658;56;-119;4;21.06596;52.503853;114;383;106891.17;45
308657;57;-118;4;21.065847;52.503712;126;384;106940.86;45
313670;58;-110;7;21.065933;52.503792;129;383;106907.62;45
318672;59;-110;7;21.065983;52.503895;125;380;106780.66;45
323675;60;-104;7;21.066023;52.503983;118;378;106660.83;45
328680;61;-92;7;21.066063;52.504047;114;376;106569.98;45
333684;62;-96;7;21.066069;52.504059;112;376;106534.67;45
338685;63;-97;7;21.066078;52.504066;111;377;106540.8;45
343690;64;-95;7;21.066088;52.504074;111;377;106599.97;45
348693;65;-99;7;21.06609;52.504074;110;377;106597.36;45
353694;66;-96;7;21.066065;52.504089;110;379;106722.97;45
358700;67;-113;7;21.066038;52.504112;109;385;106972.08;45
363703;68;-104;7;21.066002;52.504147;108;382;106806.92;45
368709;69;-100;7;21.066023;52.504181;107;381;106761.91;45
373709;70;-107;7;21.066069;52.504215;106;380;106734.14;45
378715;71;-117;7;21.066101;52.504257;107;375;106437.73;45
383718;72;-112;7;21.066124;52.504276;107;377;106577.92;45
388723;73;-102;7;21.066126;52.504276;107;379;106688.25;45
393727;74;-108;7;21.06613;52.504276;107;370;106154.34;45
398729;75;-108;7;21.066122;52.504284;107;378;106612.41;45
403733;76;-114;7;21.06612;52.50428;107;380;106727.66;45
408735;77;-106;7;21.066122;52.504292;107;379;106670.05;45
413741;78;-102;7;21.066122;52.504292;107;380;106756.5;45
418747;79;-112;7;21.06612;52.504292;107;383;106885.44;45
423749;80;-106;7;21.06612;52.504292;107;381;106789.42;45
428752;81;-108;7;21.06612;52.504292;107;378;106552.32;45
433752;82;-115;7;21.066122;52.504288;107;379;106628.84;45
438756;83;-112;7;21.066122;52.504288;107;378;106607.89;45
443760;84;-111;7;21.066122;52.504288;107;381;106732.62;45
448765;85;-114;7;21.066126;52.504284;107;380;106697.98;45
453766;86;-102;7;21.066126;52.504284;107;375;106370.56;45
458769;87;-101;7;21.066126;52.504284;107;378;106555.73;45
463774;88;-108;7;21.066126;52.504284;107;379;106599.9;45
468776;89;-104;7;21.066126;52.504284;107;377;106470.77;45
473780;90;-116;7;21.066118;52.504276;107;380;106643.35;45
478783;91;-120;7;21.066111;52.504265;107;382;106757.33;45
483785;92;-116;7;21.066114;52.504261;107;375;106295.16;45
488788;93;-116;7;21.06612;52.504261;107;368;105978.74;45
493791;94;-115;7;21.06612;52.504265;107;368;106035.41;45
498794;95;-113;7;21.066118;52.504265;107;378;106530.85;44
503798;96;-116;7;21.066118;52.504265;107;375;106345.5;45
508799;97;-116;7;21.066113;52.504272;107;372;106217.08;45
513802;98;-109;7;21.066118;52.504276;106;372;106203.33;45
518805;99;-97;7;21.06613;52.504272;106;370;106092.05;45
523807;100;-104;7;21.066029;52.504284;107;364;105780.67;45
528810;101;-109;7;21.065922;52.504349;112;364;105818.98;45
533813;102;-116;7;21.065769;52.504429;115;355;105401.23;44
538816;103;-116;7;21.06547;52.504475;119;352;105182.55;45
543819;104;-120;7;21.065081;52.50462;124;353;105337.8;45
553823;105;-121;7;21.064308;52.50494;128;348;105042.36;45
558826;106;-123;7;21.064009;52.505081;133;348;105055.72;45
563829;107;-121;7;21.063751;52.505203;138;345;104892.48;45
568834;108;-124;7;21.063456;52.505375;144;340;104645.74;45
578840;109;-124;7;21.062624;52.505611;153;344;104829.46;44
583843;110;-123;7;21.062115;52.505718;160;339;104564.7;45
588847;111;-124;7;21.06159;52.505882;170;340;104656.95;44
593850;112;-124;7;21.061016;52.506039;181;338;104581.92;45
598855;113;-123;7;21.060448;52.506081;203;340;104610.09;44
603858;114;-124;7;21.05983;52.506161;226;338;104542.44;44
608862;115;-124;7;21.059237;52.506336;240;338;104486.58;44
613868;116;-106;7;21.058657;52.506485;253;335;104377.23;44
618870;117;-88;7;21.058094;52.506645;264;337;104515.66;44
623874;118;-97;7;21.057541;52.50676;274;333;104371.83;44
628880;119;-84;7;21.057003;52.50692;283;333;104297.75;44
633885;120;-87;7;21.056389;52.507046;293;330;104118.7;44
638891;121;-84;7;21.055807;52.507195;302;333;104287.13;44
643898;122;-88;7;21.055283;52.507324;314;329;104086.05;44
648904;123;-98;7;21.054768;52.507473;328;331;104193.11;44
653910;124;-93;7;21.054277;52.507618;342;326;103958.23;44
658917;125;-104;7;21.053738;52.507771;360;328;104027.84;44
663922;126;-89;7;21.053209;52.507904;376;326;103954.7;44
668929;127;-91;7;21.052738;52.508011;391;325;103897.78;44
673934;128;-92;7;21.052301;52.50816;407;325;103894.5;44
678942;129;-87;7;21.051857;52.50832;425;325;103824.53;44
683947;130;-89;7;21.051435;52.50845;444;322;103722.3;44
688953;131;-97;7;21.050989;52.508549;459;323;103749.27;44
693960;132;-90;7;21.050577;52.508709;472;318;103560.66;44
698965;133;-93;7;21.050135;52.508812;490;311;103238.12;44
703971;134;-88;7;21.049753;52.508945;517;311;103218.52;44
708976;135;-98;7;21.049355;52.509045;543;307;102989.2;44
713983;136;-90;7;21.048948;52.509167;570;307;103010.27;44
718989;137;-98;7;21.04855;52.509285;598;302;102831.81;44
723994;138;-88;7;21.048225;52.509399;624;300;102702.56;44
729002;139;-92;7;21.047941;52.509525;648;298;102679.3;44
734007;140;-94;7;21.047581;52.50964;670;297;102579.02;44
739015;141;-94;7;21.047251;52.509773;690;296;102532.66;44
744023;142;-87;7;21.046917;52.509895;711;289;102180.42;44
749032;143;-92;7;21.046583;52.510033;726;286;102079.33;44
754042;144;-94;7;21.046211;52.510166;742;287;102090.22;44
759050;145;-94;7;21.045853;52.5103;755;288;102125.28;44
764060;146;-90;7;21.045551;52.510406;767;285;101982.62;44
769068;147;-89;7;21.045156;52.510544;779;283;101925.72;44
774079;148;-102;7;21.044779;52.510712;792;283;101955.95;44
779090;149;-88;7;21.044474;52.510921;805;282;101863.72;44
784102;150;-93;7;21.044079;52.511116;819;277;101615.71;44
789112;151;-103;7;21.04368;52.511265;832;278;101672.78;44
794123;152;-92;7;21.043259;52.511452;846;276;101570.6;44
799136;153;-100;7;21.042824;52.511642;865;274;101598.28;44
804148;154;-86;7;21.042295;52.511806;885;271;101367.23;44
809162;155;-102;7;21.041754;52.512032;903;269;101287.99;44
814174;156;-93;7;21.041224;52.512253;919;265;101097.64;44
819186;157;-101;7;21.040581;52.512505;932;267;101248.48;44
824198;158;-108;7;21.039988;52.512791;941;264;101076.01;44
829211;159;-106;7;21.039427;52.513046;947;264;101034.52;44
834225;160;-105;7;21.038877;52.513336;953;260;100850;43
839238;161;-107;7;21.03837;52.513565;958;259;100837.51;44
844253;162;-100;7;21.037897;52.513805;963;259;100811.46;44
849266;163;-93;7;21.037392;52.514057;971;255;100645.58;44
854279;164;-103;7;21.036821;52.514271;984;256;100674.62;44
859294;165;-97;7;21.036158;52.514473;998;256;100716.06;44
864312;166;-96;7;21.035458;52.514622;1011;252;100511.32;44
869325;167;-104;7;21.034912;52.514793;1022;252;100519.66;44
874339;168;-96;7;21.034269;52.514946;1030;249;100416.84;44
879354;169;-104;7;21.033623;52.515129;1039;249;100392.39;44
884368;170;-101;7;21.033052;52.51532;1045;246;100215.53;44
889384;171;-92;7;21.032457;52.515491;1050;245;100196.5;44
894399;172;-98;7;21.031853;52.515694;1055;243;100129.95;44
899415;173;-97;7;21.031181;52.515903;1061;239;99964.16;44
904429;174;-99;7;21.030607;52.516094;1065;240;99968.46;44
909443;175;-103;7;21.029997;52.516251;1067;241;100031.66;44
914457;176;-105;7;21.029312;52.51643;1070;239;99914.56;44
919472;177;-100;7;21.02866;52.516537;1073;240;99985.89;44
924489;178;-96;7;21.02804;52.516724;1079;242;100097.89;44
929504;179;-97;7;21.027483;52.51685;1087;239;99949;44
934519;180;-100;7;21.026957;52.516979;1098;240;99969.16;43
939536;181;-95;7;21.026476;52.51709;1107;237;99831.73;44
944552;182;-96;7;21.025997;52.517216;1114;238;99880.92;44
949568;183;-101;7;21.025599;52.517303;1118;238;99850.05;44
954585;184;-99;7;21.025127;52.51741;1120;238;99863;44
959602;185;-95;7;21.024673;52.51754;1123;240;99893.8;44
964621;186;-98;7;21.024233;52.517651;1125;240;99948.5;44
969636;187;-101;7;21.023821;52.51778;1129;237;99789.6;44
974654;188;-93;7;21.023361;52.517914;1132;234;99690.3;44
979671;189;-97;7;21.02289;52.51807;1136;237;99816.86;44
984689;190;-92;7;21.022404;52.518215;1139;233;99678.67;44
989707;191;-99;7;21.021881;52.518333;1143;233;99651.61;44
994724;192;-98;7;21.021383;52.518497;1147;235;99723.57;44
999742;193;-106;7;21.020889;52.518623;1151;236;99736.39;43
1004758;194;-98;7;21.020399;52.518768;1156;236;99825;44
1009774;195;-102;7;21.019859;52.518879;1160;237;99801.92;43
1014792;196;-98;7;21.01939;52.518993;1163;235;99719.5;44
1019809;197;-105;7;21.0189;52.519131;1168;236;99769.14;43
1024825;198;-98;7;21.018318;52.519337;1173;237;99788.77;44
1029842;199;-99;7;21.017794;52.519497;1178;234;99664.57;44
1034858;200;-100;7;21.017242;52.519669;1182;237;99793.34;43
1039875;201;-106;7;21.016674;52.519855;1187;234;99637.5;44
1044893;202;-101;7;21.0161;52.520046;1194;235;99645.05;44
1049909;203;-101;7;21.015566;52.520229;1205;235;99646.58;44
1054925;204;-102;7;21.015007;52.52039;1215;234;99657.95;44
1059941;205;-96;7;21.014519;52.520573;1228;237;99781.82;43
1064956;206;-98;7;21.014078;52.520748;1241;235;99681.2;44
1069973;207;-103;7;21.013599;52.520977;1253;239;99828.12;44
1074986;208;-105;7;21.013113;52.52124;1266;239;99819.11;44
1080000;209;-98;7;21.012625;52.521488;1281;237;99746.53;43
1085013;210;-97;7;21.012133;52.521744;1295;239;99788.57;43
1090028;211;-98;7;21.011669;52.522003;1306;238;99785.92;44
1095041;212;-107;7;21.011223;52.522282;1318;236;99686.82;44
1100056;213;-100;7;21.010733;52.522552;1331;236;99737.45;44
1105070;214;-104;7;21.010269;52.522816;1346;234;99598.34;44
1110085;215;-99;7;21.009768;52.523087;1358;232;99524.86;44
1115099;216;-97;7;21.009317;52.523365;1369;231;99425.59;44
1120114;217;-100;7;21.008862;52.523655;1380;226;99215.48;44
1125127;218;-101;7;21.008415;52.523949;1390;226;99226.87;44
1130141;219;-95;7;21.007967;52.524269;1399;228;99293.8;44
1135156;220;-100;7;21.007496;52.52457;1408;223;99107.27;44
1140172;221;-102;7;21.007006;52.524857;1417;223;99080.08;44
1145186;222;-107;7;21.006557;52.525162;1426;222;99036.25;44
1150201;223;-103;7;21.006105;52.525463;1437;220;98901.69;44
1155216;224;-99;7;21.005629;52.525791;1447;221;99022.97;44
1160231;225;-95;7;21.005186;52.526073;1457;220;98997.5;44
1165245;226;-99;7;21.004797;52.526379;1468;217;98773.34;44
1170263;227;-93;7;21.004463;52.526672;1476;217;98856.86;43
1175276;228;-99;7;21.004059;52.527004;1485;219;98915.77;43
1180291;229;-98;7;21.003674;52.527336;1493;221;98984.77;43
1185306;230;-99;7;21.003349;52.527672;1501;219;98862.62;43
1190322;231;-107;7;21.003017;52.527973;1510;218;98871.45;43
1195338;232;-100;7;21.002674;52.528328;1517;218;98818.98;43
1200353;233;-96;7;21.002369;52.52866;1525;217;98777.05;43
1205368;234;-103;7;21.002102;52.529053;1532;220;98890.46;43
1210383;235;-96;7;21.001844;52.529465;1538;219;98888.77;43
1215398;236;-106;7;21.001579;52.529888;1545;222;98999.36;43
1220413;237;-102;7;21.001345;52.530312;1552;222;98987.79;43
1225429;238;-95;7;21.001141;52.530716;1559;222;98991.72;43
1230445;239;-105;7;21.000904;52.531128;1567;221;98963.69;43
1235461;240;-98;7;21.000702;52.531567;1576;221;98970.64;43
1240476;241;-100;7;21.000561;52.532001;1584;223;99002.23;44
1245492;242;-104;7;21.000395;52.532463;1591;224;99057.51;43
1250506;243;-102;7;21.00024;52.532917;1597;225;99081.31;43
1255522;244;-103;7;21.00009;52.533398;1605;224;99054.78;43
1260537;245;-107;7;20.999958;52.533863;1610;225;99022.31;43
1265551;246;-97;7;20.999798;52.534321;1616;222;98914.56;43
1270565;247;-106;7;20.999681;52.534786;1621;223;99000.25;43
1275578;248;-94;7;20.999504;52.535271;1627;223;98964.03;43
1280591;249;-105;7;20.999367;52.535732;1634;222;98910.5;43
1285605;250;-98;7;20.999233;52.536194;1640;222;98907.08;43
1290620;251;-100;7;20.999111;52.536652;1646;220;98830.67;43
1295632;252;-98;7;20.999039;52.537083;1650;222;98927.14;43
1300644;253;-98;7;20.998953;52.537529;1657;222;98887.38;43
1305656;254;-99;7;20.998857;52.537994;1664;224;98989.35;42
1310668;255;-101;7;20.998817;52.538437;1671;225;98985.42;43
1315680;256;-106;7;20.998781;52.538853;1680;223;98950.56;43
1320692;257;-105;7;20.998711;52.539314;1687;229;99195.64;43
1325703;258;-102;7;20.998634;52.539764;1694;225;99019.09;43
1330713;259;-106;7;20.998552;52.540199;1703;227;99016.35;43
1335725;260;-103;7;20.998484;52.540676;1712;226;99010.42;43
1340737;261;-102;7;20.998407;52.541149;1721;228;99083.85;43
1345749;262;-103;7;20.998318;52.541611;1728;230;99149.16;43
1350759;263;-106;7;20.99824;52.542084;1736;229;99092.02;43
1355771;264;-103;7;20.998152;52.542542;1743;225;98929.16;43
1360782;265;-101;7;20.998058;52.54298;1751;225;98957.55;43
1365794;266;-104;7;20.997986;52.543457;1764;225;98881.9;43
1370805;267;-107;7;20.997892;52.543903;1776;223;98868.85;43
1375816;268;-105;7;20.997778;52.544353;1786;223;98877.48;43
1380827;269;-97;7;20.997675;52.544796;1797;226;98958.22;43
1385838;270;-104;7;20.997589;52.545273;1809;228;99023.14;43
1390848;271;-103;7;20.997431;52.545738;1821;231;99184.74;43
1395861;272;-107;7;20.997353;52.546181;1834;227;98955.81;43
1400870;273;-107;7;20.997299;52.546669;1844;228;99047.12;43
1405881;274;-102;7;20.997162;52.547127;1856;224;98856.94;43
1410893;275;-106;7;20.99707;52.547581;1869;226;98920.3;43
1415903;276;-108;7;20.996996;52.548061;1882;225;98901.95;43
1420914;277;-106;7;20.996914;52.548485;1897;223;98782.98;43
1425925;278;-100;7;20.996777;52.548927;1913;226;98930.15;42
1430935;279;-99;7;20.996664;52.549351;1925;223;98793.7;43
1435943;280;-103;6;20.996546;52.549793;1941;227;98916.66;43
1440956;281;-104;7;20.996462;52.550194;1954;226;98907.36;43
1445965;282;-105;7;20.996439;52.550606;1968;226;98845.3;43
1450975;283;-98;7;20.996376;52.551033;1980;229;99028.74;43
1455984;284;-102;7;20.996279;52.55143;1991;224;98817.14;43
1460996;285;-102;7;20.996235;52.551826;2002;224;98773.51;43
1466005;286;-103;7;20.996162;52.552219;2014;223;98731.86;43
1471015;287;-101;7;20.996092;52.552601;2026;224;98791.47;43
1476025;288;-107;7;20.996017;52.552956;2043;220;98613.23;43
1481034;289;-104;7;20.995932;52.553356;2057;221;98630.2;43
1486043;290;-104;7;20.995901;52.553764;2068;221;98639.02;43
1491052;291;-106;7;20.995857;52.554157;2079;222;98666.15;43
1496062;292;-105;7;20.995823;52.55455;2091;218;98483.59;43
1501072;293;-100;7;20.995771;52.554939;2102;218;98481.56;43
1506081;294;-104;7;20.995707;52.555344;2113;218;98446.12;43
1511091;295;-103;7;20.995636;52.555744;2124;216;98376.64;43
1516101;296;-103;7;20.995575;52.556141;2134;212;98199.63;43
1521110;297;-102;7;20.995495;52.55658;2143;211;98136.25;42
1526119;298;-107;7;20.995459;52.556969;2153;209;98036.12;43
1531129;299;-104;7;20.995388;52.557384;2165;211;98206.8;43
1536139;300;-103;7;20.995314;52.5578;2175;210;98073.45;43
1541147;301;-106;7;20.995226;52.558182;2186;210;98056.04;43
1546156;302;-107;7;20.995159;52.55859;2198;212;98160.61;43
1551166;303;-106;7;20.995142;52.559017;2208;208;98003.46;43
1556175;304;-101;7;20.995041;52.559441;2218;207;97983.2;43
1561185;305;-105;7;20.994982;52.55983;2227;208;97986.68;43
1566194;306;-106;7;20.994932;52.560253;2236;207;97970.69;43
1571202;307;-104;7;20.994852;52.560684;2246;208;97994.16;42
1576210;308;-108;7;20.994808;52.561096;2255;203;97749.92;43
1581219;309;-99;7;20.994747;52.561543;2263;203;97807.95;43
1586229;310;-103;7;20.994699;52.561977;2272;203;97764.59;43
1591238;311;-106;7;20.994663;52.562389;2280;206;97855.79;43
1596247;312;-104;7;20.99465;52.562881;2286;203;97736.55;43
1601256;313;-105;7;20.994665;52.56332;2293;202;97670.23;43
1606266;314;-105;7;20.994642;52.563766;2299;201;97643.36;43
1611274;315;-108;7;20.994646;52.564209;2305;204;97770.28;43
1616283;316;-104;7;20.994637;52.564655;2312;199;97580.43;43
1621292;317;-100;7;20.994617;52.565102;2320;201;97597.31;43
1626301;318;-97;7;20.994646;52.565548;2328;198;97483.62;43
1631308;319;-104;7;20.994642;52.565983;2335;198;97514.08;43
1636316;320;-99;7;20.99464;52.566433;2342;200;97580.69;42
1641325;321;-100;7;20.994677;52.566917;2349;200;97543.63;42
1646333;322;-107;7;20.994726;52.567387;2356;197;97445.69;43
1651343;323;-104;7;20.994768;52.567867;2366;198;97535.73;43
1656351;324;-105;7;20.994764;52.568336;2372;194;97283.83;43
1661358;325;-104;7;20.994833;52.568821;2381;196;97391.88;43
1666367;326;-99;7;20.99486;52.569317;2388;194;97322.52;43
1671373;327;-104;7;20.994888;52.569786;2399;194;97278.66;43
1676382;328;-106;7;20.994898;52.570232;2408;193;97262.94;43
1681392;329;-107;7;20.994928;52.570702;2415;192;97170.28;43
1686399;330;-107;7;20.994944;52.571159;2422;190;97077.32;43
1691406;331;-107;7;20.99497;52.571564;2429;193;97214.25;42
1696413;332;-100;7;20.995029;52.57201;2436;192;97169.64;43
1701421;333;-104;7;20.995075;52.572464;2443;193;97219.02;43
1706428;334;-105;7;20.995108;52.57288;2451;190;97018.02;43
1711436;335;-107;7;20.995197;52.573311;2458;190;97083.12;43
1716444;336;-107;7;20.995213;52.573734;2465;187;96924.27;43
1721452;337;-103;7;20.995296;52.57415;2472;185;96874.69;43
1726460;338;-108;7;20.995369;52.574551;2480;184;96800.06;43
1731468;339;-102;7;20.995447;52.574951;2490;182;96714.77;43
1736476;340;-107;7;20.995525;52.575356;2496;181;96678.75;43
1741484;341;-105;7;20.995596;52.575741;2504;177;96490.36;43
1746491;342;-107;7;20.995705;52.576122;2514;178;96539.16;42
1751499;343;-107;7;20.995825;52.576508;2522;179;96597.51;43
1756506;344;-108;7;20.995892;52.576885;2531;175;96423.53;43
1761514;345;-107;7;20.996004;52.577267;2541;175;96461.06;42
1766521;346;-103;7;20.996122;52.577633;2550;175;96364.2;43
1771530;347;-103;7;20.996237;52.578011;2560;178;96475.67;43
1776537;348;-102;7;20.99638;52.578369;2568;176;96422.92;43
1781545;349;-104;7;20.9965;52.578724;2575;174;96385.33;42
1786552;350;-105;7;20.996626;52.579075;2583;172;96264.36;42
1791558;351;-104;7;20.996752;52.579441;2591;169;96137.72;42
1796567;352;-116;7;0;52.579788;2600;164;96086.34;42
1801574;353;-108;7;20.997049;52.580128;2610;166;96013.83;42
1806581;354;-111;7;20.997206;52.58046;2619;166;96024.2;42
1811587;355;-106;7;20.997349;52.580833;2627;165;95950.26;42
1816593;356;-105;7;20.997528;52.581173;2633;162;95838.72;42
1821600;357;-101;7;20.997683;52.581524;2643;160;95714.42;42
1826605;358;-106;7;20.997835;52.581875;2651;159;95741.93;42
1831612;359;-123;7;20.997995;52.582233;2662;157;95627.02;42
1846626;360;-107;7;20.998569;52.583275;2692;156;95570.62;42
1851630;361;-97;7;20.998747;52.583607;2702;153;95430.81;42
1856635;362;-96;7;20.998972;52.583946;2711;155;95582;42
1861641;363;-101;7;20.999262;52.584293;2721;154;95508.26;42
1866644;364;-102;7;20.999502;52.584625;2731;159;95664.62;42
1871649;365;-104;7;20.999737;52.584919;2743;158;95638.98;41
1876655;366;-103;7;20.999985;52.585228;2753;158;95606.12;42
1881660;367;-111;7;21.000244;52.585537;2763;158;95570.31;42
1886667;368;-106;7;21.000483;52.585831;2770;157;95570.36;42
1891674;369;-109;7;21.000729;52.586124;2778;156;95515.02;42
1896682;370;-104;7;21.001005;52.58646;2785;159;95676.16;42
1901688;371;-104;7;21.001232;52.586742;2793;157;95476.52;42
1906695;372;-107;7;21.001514;52.587055;2800;155;95481.38;42
1911705;373;-101;7;21.001774;52.587364;2808;152;95296.57;42
1916715;374;-105;7;21.002068;52.587681;2818;152;95322.41;42
1921725;375;-100;7;21.002371;52.587982;2831;150;95208.12;42
1926735;376;-108;7;21.002619;52.588291;2840;150;95215.34;42
1931745;377;-95;7;21.002893;52.588581;2852;147;95120.17;42
1936756;378;-97;7;21.003166;52.588905;2860;148;95140.95;42
1941767;379;-95;7;21.003435;52.589222;2869;146;95048.02;42
1946779;380;-106;7;21.003763;52.589561;2878;147;95089.86;42
1951793;381;-106;7;21.004103;52.589867;2886;144;94974.52;42
1956804;382;-102;7;21.00445;52.590218;2896;145;95028.91;42
1961816;383;-100;7;21.004734;52.590549;2904;144;94932.85;42
1966828;384;-116;7;21.005075;52.590885;2911;143;94915.48;42
1971843;385;-113;7;21.005404;52.591209;2922;141;94817.87;42
1976856;386;-112;7;21.005728;52.591549;2931;140;94768.92;42
1981870;387;-106;7;21.006071;52.591885;2941;142;94891.61;42
